RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I    V,24,23.07.2024,16:48:27.845,110.7000,0.0466,-.----,-.----,-82.93,19.79,19.62,90.01,150.01,1.7,39.41,-3.97,3.05,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,8.47,5.00,0.70,4.86,0.84,1.11,0.73,1.05,7.60,26.41,0.88,06 59.49169954' S,107 33.97118766' E,666.60,0.69,23.07.2024,09:49:14.486,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,25,23.07.2024,16:48:28.344,110.7000,0.0445,-.----,-.----,-83.29,20.21,19.28,89.94,150.00,9.0,39.50,-2.68,3.02,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,11.82,8.31,0.67,5.59,0.94,1.20,0.82,1.07,7.65,30.56,0.85,06 59.49189415' S,107 33.97109285' E,666.60,0.90,23.07.2024,09:49:14.985,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,26,23.07.2024,16:48:28.844,110.7000,0.0426,-.----,-.----,-83.81,19.45,19.74,90.01,149.99,-2.8,39.19,-2.72,3.15,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,15.32,11.46,0.97,6.16,0.78,0.90,0.85,1.05,8.57,32.05,0.91,06 59.49263860' S,107 33.97081965' E,667.19,1.36,23.07.2024,09:49:15.485,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,27,23.07.2024,16:48:29.344,110.7000,0.0465,-.----,-.----,-83.35,19.84,19.69,90.00,150.01,1.5,39.52,-2.87,3.06,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,11.40,6.08,0.97,6.49,0.98,1.10,1.01,1.36,9.71,34.35,0.93,06 59.49301860' S,107 33.97066465' E,667.39,1.65,23.07.2024,09:49:15.985,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,28,23.07.2024,16:48:29.844,110.7000,0.0446,-.----,-.----,-82.64,19.56,20.06,89.93,150.00,-4.8,39.61,-1.26,2.99,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,13.85,7.76,0.72,6.05,0.88,0.97,0.62,1.09,7.19,31.17,0.59,06 59.49344315' S,107 33.97108880' E,667.45,2.53,23.07.2024,09:49:16.485,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,29,23.07.2024,16:48:30.344,110.7000,0.0465,-.----,-.----,-82.71,19.66,20.40,90.00,150.01,-7.2,40.05,0.02,2.41,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,11.56,5.13,0.78,5.61,0.73,1.03,0.69,1.05,6.92,28.64,0.62,06 59.49383815' S,107 33.97112880' E,667.60,3.02,23.07.2024,09:49:16.985,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,30,23.07.2024,16:48:30.844,110.7000,0.0512,-.----,-.----,-83.86,19.57,20.79,89.90,150.01,-11.8,40.35,0.24,3.64,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,31.58,20.79,1.00,6.32,0.71,1.46,1.16,1.32,9.42,32.06,1.13,06 59.49316395' S,107 33.97082725' E,668.19,0.36,23.07.2024,09:49:17.485,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,31,23.07.2024,16:48:31.344,110.7000,0.0582,-.----,-.----,-83.99,20.06,20.51,89.95,150.01,-4.4,40.57,2.65,3.94,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,24.88,27.38,1.08,2.31,0.92,0.72,1.00,1.86,10.94,15.64,1.35,06 59.49319895' S,107 33.97075225' E,668.49,-0.21,23.07.2024,09:49:17.985,7,OK,GPS,0.91,1.67,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,32,23.07.2024,16:48:31.844,110.7000,0.0487,-.----,-.----,-84.46,20.26,20.18,90.04,150.01,0.8,40.44,-55.98,4.31,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,11.72,13.33,1.42,2.26,0.92,0.82,0.82,2.45,11.01,17.99,1.20,06 59.49296665' S,107 33.97069210' E,669.09,0.45,23.07.2024,09:49:18.485,7,OK,GPS,0.91,1.67,1.60,56,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,33,23.07.2024,16:48:32.344,110.7000,0.0620,-.----,-.----,-85.91,20.42,19.12,90.02,150.02,12.5,39.54,-57.34,4.56,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,50.37,60.57,1.30,5.49,1.30,0.98,1.13,1.51,13.42,31.10,1.24,06 59.49291165' S,107 33.97062210' E,669.49,0.30,23.07.2024,09:49:18.985,7,OK,GPS,0.91,1.67,1.60,56,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
