RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I   M ,28,23.07.2024,16:46:41.728,334.7000,-0.2370,-.----,-.----,-111.04,3.18,2.77,-.--,-.--,3.6,5.95,-.--,6.73,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,716.66,641.28,2.44,2.59,2.62,2.26,2.93,2.43,inf,247.03,2.35,06 59.49592985' S,107 33.97061255' E,673.96,0.16,23.07.2024,09:47:28.365,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,29,23.07.2024,16:46:42.228,334.7000,-0.2445,-.----,-.----,-111.22,2.33,2.34,-.--,-.--,-0.1,4.67,-.--,6.74,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,568.87,725.73,2.73,2.30,1.96,2.50,2.91,2.61,inf,261.20,2.69,06 59.49587485' S,107 33.97054755' E,673.91,0.05,23.07.2024,09:47:28.865,6,OK,GPS,1.03,1.66,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,30,23.07.2024,16:46:42.728,334.7000,-0.2033,-.----,-.----,-111.12,2.79,2.81,-.--,-.--,-0.1,5.60,-.--,7.00,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,601.12,730.32,2.72,2.37,2.09,1.73,2.78,3.24,221.85,197.56,2.12,06 59.49661155' S,107 33.97059175' E,673.59,1.96,23.07.2024,09:47:29.365,6,OK,GPS,1.03,1.66,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,31,23.07.2024,16:46:43.228,334.7000,-0.3671,-.----,-.----,-111.12,2.63,3.23,-.--,-.--,-5.2,5.86,-.--,7.09,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,529.73,632.41,2.73,3.22,2.13,2.20,2.91,1.65,269.92,297.03,3.13,06 59.49684655' S,107 33.97056675' E,673.44,2.59,23.07.2024,09:47:29.865,6,OK,GPS,1.03,1.66,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,32,23.07.2024,16:46:43.728,334.7000,-0.2736,-.----,-.----,-111.41,3.01,2.54,-.--,-.--,4.1,5.55,-.--,7.19,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,514.10,587.68,2.95,3.23,2.18,1.58,1.92,2.28,215.29,321.87,2.28,06 59.49646730' S,107 33.97148360' E,673.02,1.50,23.07.2024,09:47:30.365,6,OK,GPS,1.03,1.66,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,33,23.07.2024,16:46:44.228,334.7000,-0.3745,-.----,-.----,-111.37,2.46,1.95,-.--,-.--,4.4,4.41,-.--,7.94,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,486.43,599.97,2.51,2.73,2.21,2.69,2.47,3.03,411.57,408.14,2.80,06 59.49647730' S,107 33.97180360' E,672.77,1.50,23.07.2024,09:47:30.865,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,34,23.07.2024,16:46:44.728,334.7000,-0.2920,-.----,-.----,-111.48,2.23,2.46,-.--,-.--,-1.9,4.69,-.--,7.25,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,556.57,616.95,2.12,2.49,2.95,2.32,1.77,2.72,233.45,256.25,2.93,06 59.49719710' S,107 33.97303815' E,672.52,4.67,23.07.2024,09:47:31.365,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,35,23.07.2024,16:46:45.228,334.7000,-0.2757,-.----,-.----,-111.35,2.70,2.03,-.--,-.--,5.7,4.73,-.--,7.30,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,519.48,710.12,1.84,2.64,2.24,2.17,2.31,1.92,187.25,261.41,2.93,06 59.49746710' S,107 33.97369315' E,672.27,5.83,23.07.2024,09:47:31.865,6,OK,GPS,1.03,1.66,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,36,23.07.2024,16:46:45.728,334.7000,-0.2052,-.----,-.----,-111.34,2.51,2.48,-.--,-.--,0.2,4.99,-.--,6.82,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,511.99,606.13,2.62,2.24,2.01,2.23,2.01,2.25,202.13,238.01,2.96,06 59.49728665' S,107 33.97298315' E,672.43,3.77,23.07.2024,09:47:32.365,5,OK,GPS,1.29,2.14,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,37,23.07.2024,16:46:46.228,334.7000,-0.3460,-.----,-.----,-111.27,2.35,2.03,-.--,-.--,2.8,4.38,-.--,7.41,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,493.57,663.82,2.61,2.39,2.74,2.63,1.62,2.65,278.26,345.21,2.80,06 59.49739165' S,107 33.97313815' E,672.33,3.75,23.07.2024,09:47:32.865,5,OK,GPS,1.29,2.14,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
